Namespace(batch_size=12, class_choice=None, dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='part_seg', k=40, lr=0.001, model='dgcnn', model_path='/home/huijie/research/EECS542/FM-3DNet/part_seg/models/40.pth', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=12, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Test 122, loss: 1.818135, test acc: 0.716092, test avg acc: 0.444739, test iou: 0.499762
Train 123, loss: 1.796441, train acc: 0.735582, train avg acc: 0.448159, train iou: 0.517716
Test 123, loss: 1.770040, test acc: 0.739179, test avg acc: 0.460022, test iou: 0.540661
Train 124, loss: 1.799552, train acc: 0.735025, train avg acc: 0.447379, train iou: 0.517792
Test 124, loss: 1.783377, test acc: 0.747273, test avg acc: 0.458301, test iou: 0.547193
Train 125, loss: 1.793936, train acc: 0.736460, train avg acc: 0.449168, train iou: 0.519040
Test 125, loss: 1.786813, test acc: 0.732992, test avg acc: 0.442590, test iou: 0.525421
Train 126, loss: 1.786531, train acc: 0.737675, train avg acc: 0.450207, train iou: 0.520486
Test 126, loss: 1.783161, test acc: 0.740245, test avg acc: 0.457784, test iou: 0.543248
Train 127, loss: 1.787677, train acc: 0.738998, train avg acc: 0.451294, train iou: 0.522259
Test 127, loss: 1.776463, test acc: 0.747517, test avg acc: 0.458263, test iou: 0.543853
Train 128, loss: 1.785495, train acc: 0.739539, train avg acc: 0.452549, train iou: 0.521461
Test 128, loss: 1.794288, test acc: 0.731660, test avg acc: 0.470273, test iou: 0.534153
Train 129, loss: 1.783392, train acc: 0.739965, train avg acc: 0.453367, train iou: 0.522859
Test 129, loss: 1.759130, test acc: 0.750488, test avg acc: 0.456727, test iou: 0.547297
Train 130, loss: 1.788558, train acc: 0.739829, train avg acc: 0.452102, train iou: 0.522922
Test 130, loss: 1.798354, test acc: 0.732596, test avg acc: 0.455777, test iou: 0.519216
Train 131, loss: 1.790155, train acc: 0.738962, train avg acc: 0.451391, train iou: 0.521566
Test 131, loss: 1.761275, test acc: 0.754285, test avg acc: 0.468494, test iou: 0.555130
Train 132, loss: 1.778240, train acc: 0.742098, train avg acc: 0.453329, train iou: 0.526297
Test 132, loss: 1.764079, test acc: 0.746379, test avg acc: 0.456755, test iou: 0.535430
Train 133, loss: 1.783486, train acc: 0.741757, train avg acc: 0.454432, train iou: 0.525558
Test 133, loss: 1.793765, test acc: 0.715242, test avg acc: 0.466259, test iou: 0.530245
Train 134, loss: 1.782197, train acc: 0.741894, train avg acc: 0.453841, train iou: 0.525156
Test 134, loss: 1.775750, test acc: 0.743246, test avg acc: 0.465825, test iou: 0.549259
Train 135, loss: 1.778963, train acc: 0.743627, train avg acc: 0.455886, train iou: 0.527267
Test 135, loss: 1.774390, test acc: 0.741507, test avg acc: 0.460258, test iou: 0.539486
Train 136, loss: 1.779179, train acc: 0.743798, train avg acc: 0.455505, train iou: 0.527653
Test 136, loss: 1.797143, test acc: 0.731101, test avg acc: 0.444378, test iou: 0.525301
Train 137, loss: 1.774389, train acc: 0.745145, train avg acc: 0.456950, train iou: 0.529340
Test 137, loss: 1.770780, test acc: 0.741401, test avg acc: 0.453905, test iou: 0.544573
Train 138, loss: 1.786929, train acc: 0.741912, train avg acc: 0.454254, train iou: 0.525963
Test 138, loss: 1.764955, test acc: 0.738962, test avg acc: 0.452901, test iou: 0.537317
Train 139, loss: 1.774535, train acc: 0.744602, train avg acc: 0.456081, train iou: 0.527501
Test 139, loss: 1.779027, test acc: 0.735564, test avg acc: 0.443712, test iou: 0.527048
Train 140, loss: 1.776383, train acc: 0.745306, train avg acc: 0.456170, train iou: 0.529290
